sent_id	scene_id	scene_label	cut_type	reveal_word	text_spoken
S001	SC01	매달 들어오는 돈	sentence		매달 돈이 들어오고, 연으로 계산하면 십 퍼센트, 십오 퍼센트, 어떤 이티에프는 이십 퍼센트에 가까운 숫자가 보입니다.
S002	SC01	매달 들어오는 돈	sentence		그러면 이런 생각이 들죠.
S003	SC01	매달 들어오는 돈	sentence		은행에 넣어둘 이유가 있나?
S004	SC01	매달 들어오는 돈	sentence		일억 넣으면 매년 이천만 원 받는 거 아닌가?
S005	SC01	매달 들어오는 돈	sentence		그런데 잠깐만요.
S006	SC01	매달 들어오는 돈	reveal	훨씬 천천히	여기서 숫자 하나를 잘못 이해하면, 매달 돈을 받으면서도 내 전체 자산은 생각보다 훨씬 천천히 늘어날 수 있습니다.
S007	SC01	매달 들어오는 돈	sentence		오늘은 월배당 이티에프를 볼 때 제가 가장 먼저 확인해야 한다고 생각하는 세 가지 숫자를 보겠습니다.
S008	SC01	매달 들어오는 돈	sentence		그리고 마지막 세 번째가 가장 중요합니다.
S009	SC01	매달 들어오는 돈	sentence		왜냐하면 같은 월배당 이티에프라도 그 숫자 하나 때문에 결과가 완전히 달라질 수 있기 때문입니다.
S010	SC02	은행 vs ETF	sentence		이천이십육 년 들어 월배당 이티에프 시장을 보면 선택지가 정말 많아졌습니다.
S011	SC02	은행 vs ETF	sentence		배당주 이티에프도 있고, 미국 지수를 이용한 상품도 있고, 채권형도 있고, 그리고 눈에 가장 잘 들어오는 게 커버드콜입니다.
S012	SC02	은행 vs ETF	sentence		이유는 간단합니다.
S013	SC02	은행 vs ETF	sentence		분배금 숫자가 큽니다.
S014	SC03	월배당 ETF	sentence		실제로 최근 공시된 상품들 중에는 한 달 분배율이 일 퍼센트를 넘는 커버드콜 이티에프도 어렵지 않게 볼 수 있습니다.
S015	SC03	월배당 ETF	sentence		한 달에 일 퍼센트.
S016	SC03	월배당 ETF	sentence		숫자만 놓고 보면 굉장히 매력적으로 들립니다.
S017	SC04	분배율이 크다	sentence		그런데 여기서 첫 번째 질문입니다.
S018	SC05	이 돈의 출처	sentence		그 돈은 어디에서 나오는 걸까요?
S019	SC05	이 돈의 출처	sentence		회사가 배당을 엄청 많이 줘서 나오는 돈일까요?
S020	SC05	이 돈의 출처	sentence		꼭 그렇지는 않습니다.
S021	SC05	이 돈의 출처	sentence		커버드콜 이티에프를 아주 단순하게 설명하면 이렇습니다.
S022	SC06	콜옵션 매도	sentence		주식을 들고 있습니다.
S023	SC06	콜옵션 매도	sentence		그리고 그 주식이 앞으로 오를 때 특정 가격 이상에서 살 수 있는 권리, 즉 콜옵션을 다른 사람에게 팝니다.
S024	SC06	콜옵션 매도	sentence		그 권리를 팔아주는 대가로 돈을 받습니다.
S025	SC07	옵션 프리미엄	sentence		이게 옵션 프리미엄입니다.
S026	SC07	옵션 프리미엄	sentence		그리고 이 옵션 프리미엄이 월분배금의 중요한 재원이 될 수 있습니다.
S027	SC07	옵션 프리미엄	sentence		여기까지만 들으면 상당히 좋아 보입니다.
S028	SC07	옵션 프리미엄	sentence		주식에도 투자하고, 옵션을 팔아서 추가 현금도 받고, 그 돈을 매달 나눠준다.
S029	SC08	공짜 점심은 없다	reveal	공짜 점심	그런데 금융시장에서 공짜 점심은 좀처럼 없습니다.
S030	SC08	공짜 점심은 없다	sentence		돈을 받았으면, 무엇인가를 넘겨준 겁니다.
S031	SC08	공짜 점심은 없다	sentence		커버드콜에서 넘겨주는 것 중 하나가 바로 주가가 크게 올라갔을 때 얻을 수 있는 수익의 일부입니다.
S032	SC08	공짜 점심은 없다	reveal	수익의 일부	예를 들어 보겠습니다.
S033	SC09	횡보장	sentence		똑같이 어떤 주가지수를 추종하는 두 상품이 있다고 가정하겠습니다.
S034	SC09	횡보장	sentence		에이는 그냥 지수를 따라갑니다.
S035	SC09	횡보장	sentence		비는 지수를 보유하면서 콜옵션을 팝니다.
S036	SC09	횡보장	sentence		시장이 옆으로 움직인다면 어떨까요?
S037	SC09	횡보장	sentence		에이는 큰 수익이 없을 수 있습니다.
S038	SC09	횡보장	sentence		하지만 비는 옵션을 팔고 받은 프리미엄이 있습니다.
S039	SC09	횡보장	sentence		이런 상황에서는 커버드콜 전략이 상당히 흥미로워집니다.
S040	SC09	횡보장	sentence		그런데 시장이 갑자기 강하게 올라가기 시작합니다.
S041	SC10	상승 제한	sentence		십 퍼센트, 이십 퍼센트, 그 이상 올라갑니다.
S042	SC10	상승 제한	sentence		에이는 상승을 상당 부분 따라갑니다.
S043	SC10	상승 제한	sentence		반면 비는 옵션을 어느 정도 팔았느냐, 어떤 가격의 옵션을 팔았느냐에 따라 상승 수익 일부가 제한될 수 있습니다.
S044	SC10	상승 제한	sentence		바로 여기서 사람들이 자주 착각하는 숫자가 나옵니다.
S045	SC10	상승 제한	reveal	제한될 수	분배율과 투자수익률은 같은 숫자가 아닙니다.
S046	SC11	분배율과 수익률	reveal	같은 숫자가 아닙니다	예를 들어 일 년 동안 분배금으로 십오 퍼센트를 받았다고 가정해 보죠.
S047	SC13	가격 변화까지	sentence		그러면 수익률도 무조건 십오 퍼센트일까요?
S048	SC13	가격 변화까지	sentence		아닙니다.
S049	SC13	가격 변화까지	sentence		이티에프 가격이 그동안 십 퍼센트 떨어졌다면 이야기가 달라집니다.
S050	SC13	가격 변화까지	sentence		반대로 가격도 상승하고 분배금도 받았다면 결과는 더 좋아질 수 있습니다.
S051	SC13	가격 변화까지	sentence		그래서 첫 번째로 볼 숫자는 분배율이 아닙니다.
S052	SC13	가격 변화까지	sentence		저라면 먼저 총수익률을 봅니다.
S053	SC12	총수익률	reveal	총수익률	가격 변화와 분배금을 함께 봐야 내 돈이 실제로 얼마나 늘었는지 알 수 있기 때문입니다.
S054	SC12	총수익률	sentence		월급처럼 돈이 들어온다는 느낌과 내 자산 전체가 늘어나는 것은 전혀 다른 문제입니다.
S055	SC12	총수익률	sentence		여기서부터 같은 커버드콜 이티에프끼리도 차이가 벌어집니다.
S056	SC12	총수익률	sentence		이름에 커버드콜이 붙었다고 전부 똑같은 상품이 아닙니다.
S057	SC14	얼마나 파느냐	sentence		상승 여력을 많이 포기하고 대신 옵션 프리미엄을 많이 노리는 전략이 있고, 상승 여력을 더 남겨두면서 일정 수준의 현금흐름을 추구하는 전략도 있습니다.
S058	SC14	얼마나 파느냐	sentence		매일 옵션을 활용하는 상품도 있고, 주 단위 전략도 있고, 목표 프리미엄을 정해 놓는 방식도 있습니다.
S059	SC14	얼마나 파느냐	sentence		그러니까 월배당 이티에프를 비교하면서, 얘는 십이 퍼센트, 얘는 십오 퍼센트니까 십오 퍼센트짜리가 더 좋네.
S060	SC15	전략이 다르다	sentence		이렇게 끝내면 안 됩니다.
S061	SC15	전략이 다르다	sentence		진짜 질문은 이것입니다.
S062	SC16	무엇을 포기하나	sentence		이 십오 퍼센트를 만들기 위해 무엇을 포기하고 있는가?
S063	SC16	무엇을 포기하나	sentence		저는 이게 가장 중요하다고 봅니다.
S064	SC16	무엇을 포기하나	reveal	무엇을 포기하고	내가 투자하는 기초자산의 성장 가능성입니다.
S065	SC17	기초자산	sentence		미국 기술주에 투자하는 커버드콜과 배당주에 투자하는 커버드콜, 한국 대형주에 투자하는 커버드콜, 장기채권에 투자하는 커버드콜은 이름 뒤에는 전부 커버드콜이 붙을 수 있지만 실제로 내가 들고 있는 위험은 완전히 다릅니다.
S066	SC17	기초자산	sentence		커버드콜은 엔진 위에 얹는 장치입니다.
S067	SC17	기초자산	sentence		그런데 엔진 자체가 무엇인지 보지 않고 장치에서 나오는 현금만 보고 투자하면 순서가 뒤집힌 겁니다.
S068	SC18	커버드콜	reveal	엔진 위에 얹는 장치	먼저, 나는 무엇에 투자하고 있는가?
S069	SC18	커버드콜	reveal	순서가 뒤집힌	그다음에, 그 자산의 상승 가능성을 얼마나 남겨 놓았는가?
S070	SC19	보는 순서	sentence		마지막에, 그래서 얼마를 분배하는가?
S071	SC19	보는 순서	sentence		이 순서로 봐야 합니다.
S072	SC19	보는 순서	sentence		많은 사람들이 월배당 이티에프를 고를 때 분배금이 계속 똑같이 나올 것처럼 계산합니다.
S073	SC19	보는 순서	sentence		이번 달에 일 퍼센트 나왔으니까 십이를 곱해서, 연 십이 퍼센트네.
S074	SC20	고정 이자가 아니다	sentence		하지만 실제 분배금은 고정 이자가 아닙니다.
S075	SC20	고정 이자가 아니다	sentence		시장 상황과 옵션 프리미엄, 이티에프의 운용 결과 등에 따라 달라질 수 있습니다.
S076	SC20	고정 이자가 아니다	sentence		운용사 역시 분배금 지급액이 투자 결과에 따라 변동될 수 있고, 이익을 초과해 분배하는 경우에는 원금이 감소할 가능성이 있음을 안내합니다.
S077	SC20	고정 이자가 아니다	sentence		그러니까 이번 달 숫자 하나를 보고 앞으로 십 년의 현금흐름을 그대로 계산하면 안 됩니다.
S078	SC20	고정 이자가 아니다	sentence		분배금은 약속된 월급이 아닙니다.
S079	SC20	고정 이자가 아니다	reveal	약속된 월급이 아닙니다	그럼 커버드콜 이티에프는 나쁜 걸까요?
S080	SC21	원금 감소 가능	sentence		그것도 아닙니다.
S081	SC21	원금 감소 가능	sentence		이게 오늘 이야기의 핵심입니다.
S082	SC21	원금 감소 가능	reveal	원금이 감소할	좋은 이티에프와 나쁜 이티에프를 나누는 것보다 어떤 상황에서 어떤 구조가 맞는지를 보는 게 먼저입니다.
S083	SC22	목적이 다르다	sentence		당장 자산을 최대한 키우는 것이 목적이라면 높은 분배금보다 상승 참여율이 더 중요할 수도 있습니다.
S084	SC22	목적이 다르다	sentence		반대로 이미 자산이 충분하고 매달 현금흐름을 만들어 쓰는 것이 중요하다면 일정한 분배를 추구하는 전략의 의미가 커질 수 있습니다.
S085	SC22	목적이 다르다	sentence		같은 이티에프라도 삼십 대 직장인에게 필요한 역할과 은퇴를 앞둔 투자자에게 필요한 역할은 전혀 다를 수 있습니다.
S086	SC22	목적이 다르다	sentence		첫째. 얼마를 주느냐보다 총수익률을 본다.
S087	SC22	목적이 다르다	sentence		둘째. 높은 분배금을 만들기 위해 상승 여력을 얼마나 포기하는지 본다.
S088	SC22	목적이 다르다	sentence		셋째. 옵션 전략보다 먼저 기초자산이 무엇인지 본다.
S089	SC23	세 가지 숫자	sentence		이 세 개를 거꾸로 보면 분배율이 높은 이티에프부터 찾게 됩니다.
S090	SC23	세 가지 숫자	sentence		하지만 순서대로 보면 나한테 필요한 이티에프가 무엇인지 찾기 시작합니다.
S091	SC23	세 가지 숫자	sentence		이 차이가 굉장히 큽니다.
S092	SC23	세 가지 숫자	sentence		그리고 재미있는 건 여기서부터입니다.
S093	SC23	세 가지 숫자	sentence		실제로 시장에 나와 있는 월배당 이티에프들을 펼쳐놓으면 겉으로는 비슷해 보이는데 속을 열어보면 상당히 다릅니다.
S094	SC23	세 가지 숫자	reveal	이 차이가	어떤 상품은 높은 현금흐름에 더 집중하고, 어떤 상품은 지수 상승을 더 많이 따라가려고 하고, 어떤 상품은 배당주를 기반으로 하고, 어떤 상품은 성장주, 또 어떤 상품은 채권을 기반으로 합니다.
S095	SC24	내 목적에 맞는 ETF	sentence		그러면 결국 다음 질문은 하나로 좁혀집니다.
S096	SC24	내 목적에 맞는 ETF	sentence		이천이십육 년 지금, 나는 어떤 월배당 구조를 골라야 할까?
S097	SC24	내 목적에 맞는 ETF	sentence		다음 편에서는 단순히 분배율 순서로 줄 세우지 않고, 총수익률, 기초자산, 상승 참여 구조, 분배 방식, 비용과 세금, 이 다섯 가지를 놓고 월배당 이티에프를 실제로 비교해 보겠습니다.
S098	SC24	내 목적에 맞는 ETF	reveal	내 목적에 맞는	분배금이 가장 큰 이티에프가 아니라, 내 목적에 맞는 이티에프를 찾는 겁니다.
